scan_ts,discovered,enriched,n_survivors,n_a
1786751620.3208046,60,51,5,0
1786758284.4166546,60,55,5,0
1786761574.9472458,60,50,6,0
1786764321.8895948,59,49,7,0
1786766757.822551,54,46,4,0
1786769006.9737792,53,45,2,0
1786770621.660821,55,46,2,0
1786772705.138484,59,53,3,0
1786773761.0117574,59,49,4,0
1786776799.3304582,60,52,3,0
1786779444.9315288,60,52,4,0
1786780965.3259196,60,51,3,0
1786783186.232875,60,54,4,0
1786785067.4446754,60,55,1,0
1786787052.887235,60,54,1,0
1786788103.0054178,60,50,2,0
1786789957.3304818,60,54,3,0
1786791178.2940254,60,54,2,0
1786793347.4929879,60,55,2,0
1786794602.3453002,60,50,2,0
1786795275.418449,60,53,2,0
1786798480.0997784,58,55,3,0
1786801047.6054108,60,50,2,0
1786802528.0931807,60,50,3,0
1786804341.0637777,60,50,4,0
1786805611.9332151,60,54,5,0
1786807830.9205124,60,50,5,0
1786809067.1008768,59,49,6,0
1786810073.6471992,57,50,6,0
1786812295.210765,57,47,6,0
1786813413.4729886,58,48,6,0
1786815064.5917304,58,51,4,0
1786816296.5716126,57,47,3,0
1786817351.9766262,60,50,3,0
1786819838.2627742,60,51,4,0
1786821048.919814,60,51,5,0
1786822730.642675,60,54,6,0
1786823969.309443,60,50,4,0
1786826008.0916884,60,51,3,0
1786827218.2269533,60,51,3,0
1786829376.3316834,60,52,3,0
1786830631.5330815,60,50,4,0
1786831342.7943711,60,50,6,0
1786833144.3991737,60,56,5,0
1786834357.332464,60,54,3,0
1786836512.7163134,60,53,3,0
1786837844.237818,60,51,3,0
1786839900.469082,60,51,3,0
1786846079.691192,60,50,3,0
1786850093.8884382,60,50,4,0
1786852995.4117293,60,55,3,0
1786855527.1847875,60,52,4,0
1786857219.612922,60,55,4,0
1786859245.5980608,60,50,5,0
1786860920.1884897,60,52,4,0
1786863836.815323,60,51,5,0
1786865967.1061351,60,53,5,1
1786867830.6309345,60,54,3,1
1786870232.1037035,60,56,3,1
1786871627.1024184,60,51,3,1
1786873577.9509897,60,53,3,1
1786874561.4773283,60,54,4,1
1786876387.1067226,60,52,6,1
1786877613.6733944,55,46,7,1
1786879773.9892826,56,47,4,1
1786881062.2251563,57,51,4,1
1786882255.4614367,57,47,2,1
1786885441.568845,59,49,3,1
1786887557.7146082,52,42,5,1
1786888964.8229508,53,46,3,0
1786890787.8830414,55,45,3,0
1786892041.2026525,54,44,2,0
1786894245.8317757,56,47,3,0
1786895523.285992,56,46,5,0
1786896596.458345,55,45,4,0
1786898738.7382421,55,45,7,0
1786899827.118944,55,45,4,1
1786901376.6025946,60,50,5,1
1786902635.3890507,60,50,2,0
1786903679.6931827,60,53,3,1
1786906190.1900394,58,49,3,1
1786907406.248794,56,46,4,1
1786909108.1550972,60,53,3,1
1786910343.5965054,59,49,3,1
1786912379.4202344,60,53,3,1
1786913577.2921169,60,54,4,1
1786915783.972195,60,51,3,1
1786916995.7764738,60,50,4,1
1786917639.690254,60,53,5,1
1786919491.082281,60,50,5,1
